make,model,year,color,mileage,price,fuel_type,transmission,engine_size,top_speed
Toyota,Mustang,2020,Blue,39789,40434,Electric,Manual,3.0,198
Chevrolet,A4,2022,Orange,128767,6374,Electric,Automatic,1.7,181
Nissan,Silverado,2018,Gray,23367,80356,Gasoline,Manual,3.0,149
Toyota,Civic,2011,Purple,88716,66665,Diesel,Automatic,5.0,157
Volkswagen,Mustang,2006,Gray,3774,71039,Gasoline,Automatic,4.9,108
Ford,Sonata,2012,Blue,130439,98999,Electric,Manual,3.9,134
BMW,E-Class,2012,Purple,46507,79098,Gasoline,Manual,2.9,160
BMW,Civic,2005,Gray,69104,83168,Electric,Manual,3.1,81
Ford,Mustang,2016,White,72099,33607,Hybrid,Manual,3.0,156
Volkswagen,Civic,2013,Gray,65803,30841,Hybrid,Automatic,2.9,144
Chevrolet,A4,2019,Purple,64228,47261,Hybrid,Manual,2.0,169
Ford,Silverado,2009,Orange,26242,11564,Gasoline,Automatic,1.4,100
BMW,Silverado,2021,Black,76863,57057,Diesel,Automatic,1.1,193
BMW,Civic,2022,Silver,84503,94357,Electric,Automatic,3.1,122
Volkswagen,Altima,2022,Blue,121798,24017,Diesel,Automatic,1.8,87
BMW,Civic,2002,Gray,57032,35793,Electric,Automatic,4.3,115
Toyota,Silverado,2001,Gray,63881,16025,Diesel,Automatic,2.5,199
Volkswagen,Mustang,2020,Red,174070,41160,Hybrid,Automatic,3.7,162
Hyundai,Golf,2009,Black,35578,82965,Electric,Manual,1.6,185
Hyundai,E-Class,2005,Yellow,59582,32907,Diesel,Manual,5.0,136
Volkswagen,3 Series,2011,Silver,188978,86225,Diesel,Manual,4.2,101
Chevrolet,Mustang,2021,Green,53445,22025,Diesel,Manual,5.2,154
Ford,Altima,2017,Orange,137125,29525,Gasoline,Automatic,3.3,98
Audi,Altima,2012,Black,30078,16225,Electric,Automatic,1.3,144
Chevrolet,Mustang,2004,Green,191801,22720,Electric,Manual,5.9,129
Toyota,A4,2022,Blue,116148,61014,Diesel,Automatic,1.5,111
Toyota,Altima,2014,Purple,82056,98470,Diesel,Manual,5.7,120
BMW,Sonata,2021,White,65066,40516,Electric,Automatic,4.1,123
Mercedes-Benz,Mustang,2007,Purple,167286,26966,Gasoline,Automatic,1.4,135
Ford,Mustang,2022,Gray,64832,11603,Diesel,Automatic,4.4,88
Hyundai,Camry,2013,Yellow,37193,47101,Electric,Manual,5.4,192
BMW,Altima,2014,Orange,172169,87754,Gasoline,Manual,1.3,146
BMW,Golf,2000,Silver,165438,12232,Electric,Automatic,5.2,148
Ford,A4,2015,Green,144820,75310,Hybrid,Manual,1.4,153
Nissan,Civic,2020,Red,26965,47340,Diesel,Manual,2.3,113
Nissan,Silverado,2002,Silver,182349,42969,Hybrid,Automatic,5.8,175
Chevrolet,Civic,2000,Black,42618,80954,Hybrid,Manual,3.9,156
BMW,Golf,2012,White,113591,55843,Electric,Automatic,4.7,108
Toyota,Camry,2018,Black,101035,56958,Electric,Manual,3.4,171
Chevrolet,Golf,2000,Orange,38507,53557,Gasoline,Automatic,4.9,128
Hyundai,Mustang,2009,Blue,132521,16487,Hybrid,Manual,1.8,152
BMW,Silverado,2007,Yellow,89766,98142,Gasoline,Manual,4.3,104
Mercedes-Benz,Camry,2017,Yellow,110259,62301,Electric,Manual,2.3,128
Nissan,Golf,2020,Green,185750,33841,Gasoline,Automatic,2.3,197
Honda,Mustang,2022,Gray,126810,74068,Diesel,Automatic,4.7,167
Hyundai,Sonata,2017,Silver,120484,50103,Hybrid,Manual,1.9,152
Nissan,3 Series,2019,Black,156822,85413,Diesel,Automatic,3.7,123
Chevrolet,Camry,2000,Yellow,25029,16924,Hybrid,Manual,3.0,136
BMW,3 Series,2003,Purple,161433,84063,Electric,Automatic,4.6,171
Chevrolet,Silverado,2016,Green,81236,81937,Diesel,Automatic,2.3,130
Volkswagen,Sonata,2008,Orange,129443,19807,Hybrid,Automatic,3.2,180
Nissan,Silverado,2013,Silver,189673,64569,Electric,Manual,2.3,167
Ford,Sonata,2005,Silver,171443,70925,Electric,Automatic,3.0,85
Mercedes-Benz,Golf,2011,Red,34376,90457,Gasoline,Automatic,4.2,154
Honda,Silverado,2020,Blue,191354,51529,Diesel,Automatic,4.2,124
BMW,Altima,2003,Blue,157871,16451,Diesel,Manual,4.8,82
Volkswagen,E-Class,2020,Blue,39350,42618,Gasoline,Automatic,4.0,151
Nissan,Mustang,2017,Blue,130799,32366,Gasoline,Automatic,5.0,122
Mercedes-Benz,E-Class,2002,White,84141,54920,Gasoline,Manual,1.1,86
Audi,Mustang,2016,Black,108249,18153,Diesel,Manual,1.7,116
Audi,E-Class,2015,Blue,23885,19878,Diesel,Manual,4.4,137
Honda,Golf,2005,Black,107133,24420,Gasoline,Manual,1.5,109
Volkswagen,Mustang,2013,Orange,172899,18140,Gasoline,Automatic,1.7,87
Mercedes-Benz,3 Series,2022,Red,30763,75084,Hybrid,Manual,3.1,124
Chevrolet,Camry,2006,Black,138430,97203,Gasoline,Automatic,2.1,115
Chevrolet,Civic,2003,Black,48016,69615,Diesel,Manual,3.3,108
Nissan,Camry,2009,Gray,107285,5460,Gasoline,Manual,3.5,91
Chevrolet,Altima,2004,Purple,33062,98159,Electric,Manual,4.9,85
Mercedes-Benz,Silverado,2007,Orange,166110,64999,Gasoline,Manual,1.8,92
Chevrolet,Mustang,2011,Orange,125653,15506,Hybrid,Manual,4.1,103
Audi,Camry,2015,Silver,33868,65420,Gasoline,Automatic,1.7,180
Toyota,Camry,2000,Yellow,6016,76024,Gasoline,Manual,4.1,100
Toyota,Mustang,2017,Red,187599,66607,Electric,Automatic,3.2,161
Honda,Camry,2004,Silver,77223,27870,Diesel,Manual,1.1,138
BMW,3 Series,2005,Orange,53506,83228,Hybrid,Automatic,4.2,146
Volkswagen,Civic,2017,Silver,124938,30989,Electric,Manual,1.2,135
Chevrolet,Altima,2005,Red,53201,47445,Hybrid,Manual,2.7,191
Chevrolet,E-Class,2000,Purple,27522,81139,Hybrid,Automatic,2.7,186
Hyundai,Mustang,2016,Gray,26239,17359,Electric,Manual,2.7,184
BMW,Civic,2010,Orange,65349,71717,Diesel,Automatic,5.2,111
Audi,Sonata,2017,Blue,128059,67957,Gasoline,Manual,3.9,187
Toyota,Altima,2000,Yellow,97337,19087,Gasoline,Automatic,2.1,92
Toyota,Golf,2004,Orange,24012,57568,Hybrid,Automatic,4.0,183
Toyota,Mustang,2004,Black,93209,96050,Gasoline,Automatic,5.6,112
Toyota,A4,2018,Silver,12014,47874,Diesel,Manual,4.7,153
BMW,Camry,2015,Blue,31063,70046,Hybrid,Manual,4.7,136
Hyundai,3 Series,2002,Gray,154558,54349,Electric,Automatic,3.0,84
BMW,E-Class,2004,White,107154,42722,Hybrid,Manual,5.2,188
Ford,Camry,2021,Orange,85580,84812,Diesel,Manual,4.5,185
Honda,Altima,2021,Red,92402,6026,Hybrid,Manual,4.7,195
Mercedes-Benz,A4,2003,Orange,89108,68230,Diesel,Automatic,2.7,125
Audi,Civic,2019,Black,63097,78492,Hybrid,Automatic,4.3,151
Nissan,3 Series,2009,Orange,129644,84440,Diesel,Automatic,2.1,199
Audi,3 Series,2009,Green,131019,81019,Gasoline,Manual,2.5,182
BMW,E-Class,2007,Silver,48063,44484,Electric,Manual,4.8,157
Audi,3 Series,2019,Purple,110831,78839,Diesel,Automatic,1.4,128
Honda,Mustang,2000,Purple,26524,13440,Electric,Manual,4.6,157
Nissan,Sonata,2001,Gray,20929,78522,Hybrid,Automatic,2.6,165
Nissan,Mustang,2003,Blue,132025,22460,Hybrid,Automatic,2.8,112
Volkswagen,Civic,2020,Yellow,141766,29207,Gasoline,Manual,1.6,180
BMW,A4,2014,Gray,120613,76224,Hybrid,Manual,4.5,136
Toyota,Camry,2015,White,21276,32328,Gasoline,Manual,3.9,128
Hyundai,Civic,2009,White,85592,29038,Diesel,Automatic,5.5,153
Nissan,Civic,2009,Red,174801,67361,Gasoline,Automatic,3.7,98
Hyundai,Camry,2007,White,140472,99040,Diesel,Manual,1.7,106
Audi,Civic,2005,Black,91044,56744,Electric,Manual,4.6,191
Chevrolet,A4,2014,Silver,187530,27400,Diesel,Automatic,4.4,95
BMW,Sonata,2005,Gray,101004,61384,Diesel,Manual,3.4,131
Hyundai,E-Class,2011,White,167213,54673,Hybrid,Automatic,1.0,164
Ford,Silverado,2003,Purple,21308,97053,Diesel,Automatic,5.3,96
Toyota,Sonata,2006,Purple,11697,26999,Gasoline,Automatic,3.0,146
Audi,Camry,2019,Gray,147896,25969,Hybrid,Automatic,3.8,111
Toyota,3 Series,2018,Orange,29516,83609,Diesel,Automatic,4.4,149
Honda,Golf,2022,Purple,88320,65149,Diesel,Automatic,3.3,175
Nissan,Sonata,2014,White,66869,34497,Diesel,Automatic,2.6,85
Hyundai,E-Class,2022,Yellow,141514,37078,Hybrid,Manual,4.2,131
Audi,Civic,2022,Red,117741,73646,Hybrid,Manual,5.8,169
BMW,Camry,2009,Green,118631,18970,Electric,Manual,3.3,124
Honda,Golf,2001,Yellow,164669,66528,Electric,Manual,4.5,140
Volkswagen,E-Class,2004,Green,145946,52644,Hybrid,Automatic,3.2,115
Audi,Camry,2019,White,81017,18446,Hybrid,Automatic,3.2,198
Audi,Sonata,2021,White,34467,57110,Hybrid,Manual,2.2,140
Nissan,Sonata,2009,Blue,101344,9701,Gasoline,Manual,5.8,186
Audi,Sonata,2003,White,110669,20783,Diesel,Manual,3.2,139
Toyota,A4,2008,Red,157659,9094,Electric,Automatic,2.6,104
Mercedes-Benz,A4,2017,Blue,76437,58051,Diesel,Automatic,2.7,146
BMW,Mustang,2003,Silver,101787,16487,Electric,Manual,5.9,156
Ford,Mustang,2009,Black,128400,37085,Gasoline,Manual,4.0,128
Chevrolet,Camry,2014,Gray,114156,7483,Gasoline,Manual,3.1,141
Honda,Mustang,2015,Red,16230,50162,Electric,Automatic,5.2,180
Ford,3 Series,2014,Red,120372,8400,Diesel,Automatic,3.3,191
Audi,Golf,2013,Silver,142471,57042,Diesel,Manual,1.0,121
Hyundai,Camry,2005,Blue,18616,14143,Diesel,Automatic,2.6,151
Hyundai,Sonata,2020,Blue,96327,51728,Electric,Manual,3.0,114
Nissan,E-Class,2016,Orange,187115,8055,Hybrid,Manual,3.4,129
Chevrolet,Sonata,2005,Black,42320,59673,Electric,Automatic,1.3,151
Nissan,Camry,2012,Blue,156254,70265,Hybrid,Manual,2.7,182
Ford,Sonata,2003,Red,107739,85916,Diesel,Manual,3.5,165
Ford,3 Series,2015,Black,33300,50417,Diesel,Manual,5.7,116
Ford,3 Series,2015,White,152496,30502,Gasoline,Automatic,3.7,130
Ford,Golf,2006,Black,129405,60841,Electric,Automatic,5.6,195
Toyota,Camry,2010,White,156175,72303,Electric,Manual,3.4,89
Chevrolet,3 Series,2005,White,38349,98433,Gasoline,Manual,3.1,168
BMW,3 Series,2016,Green,3533,80107,Electric,Manual,3.2,116
Mercedes-Benz,Civic,2018,Green,196772,45857,Hybrid,Manual,3.0,143
BMW,Camry,2012,Silver,169372,52198,Diesel,Manual,5.7,173
Ford,Silverado,2004,White,173344,92618,Electric,Automatic,3.7,122
Honda,Altima,2017,Orange,128668,26659,Hybrid,Manual,4.3,170
Nissan,Altima,2003,Black,87579,7080,Hybrid,Manual,4.2,160
Chevrolet,Silverado,2007,Orange,170736,47826,Gasoline,Automatic,2.2,129
BMW,Golf,2022,Green,87343,56500,Electric,Manual,5.3,164
Audi,A4,2014,Black,181821,93747,Hybrid,Automatic,5.8,144
Toyota,Civic,2005,Green,168105,78958,Hybrid,Manual,1.4,157
Audi,Altima,2007,Blue,122976,46016,Hybrid,Automatic,5.6,88
Toyota,Altima,2016,Purple,111313,6816,Electric,Automatic,5.8,119
Ford,Golf,2000,Gray,22056,77195,Gasoline,Automatic,2.3,133
Hyundai,Sonata,2013,Black,116682,25112,Gasoline,Automatic,4.6,102
Honda,Golf,2013,Green,151487,14976,Hybrid,Manual,4.9,123
Ford,Golf,2007,Black,139254,29862,Gasoline,Automatic,3.0,136
Chevrolet,Sonata,2003,Yellow,194749,62457,Gasoline,Automatic,4.3,103
BMW,Mustang,2011,Blue,52975,81974,Gasoline,Manual,1.1,108
Audi,Altima,2018,White,195364,78174,Gasoline,Automatic,1.2,160
Volkswagen,3 Series,2000,Orange,135784,59555,Hybrid,Automatic,1.8,153
Honda,Sonata,2009,Silver,140081,70413,Electric,Manual,2.2,141
Audi,Altima,2000,Yellow,149162,94143,Electric,Manual,1.9,180
Nissan,3 Series,2012,Yellow,91610,19009,Gasoline,Manual,5.8,141
Nissan,Sonata,2012,Silver,80891,63499,Hybrid,Automatic,1.3,135
Chevrolet,3 Series,2008,Orange,59803,40077,Gasoline,Manual,1.6,155
Mercedes-Benz,Mustang,2012,Orange,131427,55165,Diesel,Manual,5.4,90
Chevrolet,Camry,2017,Blue,19778,87171,Electric,Manual,5.1,143
Nissan,Golf,2012,Purple,79427,91727,Hybrid,Manual,2.3,175
Nissan,E-Class,2015,Silver,160316,36247,Hybrid,Automatic,2.2,127
Honda,Camry,2020,Green,170134,18840,Diesel,Automatic,3.5,162
Ford,Sonata,2019,Yellow,115261,53370,Gasoline,Automatic,1.5,82
Toyota,Golf,2021,Silver,28720,31801,Hybrid,Manual,3.8,107
Volkswagen,E-Class,2014,Gray,92594,98943,Diesel,Manual,4.3,191
Volkswagen,3 Series,2017,Yellow,60077,36805,Hybrid,Manual,2.7,84
Audi,Camry,2012,Red,152500,38042,Diesel,Automatic,4.6,138
Chevrolet,A4,2017,Purple,96175,88730,Electric,Manual,1.3,123
Ford,Golf,2008,Yellow,70059,87002,Diesel,Manual,3.6,149
Mercedes-Benz,3 Series,2003,Gray,115011,24823,Electric,Manual,3.4,193
Volkswagen,Camry,2022,Green,41594,39313,Diesel,Automatic,3.7,168
Honda,Altima,2007,Black,78966,84074,Diesel,Automatic,5.7,122
BMW,Silverado,2008,Black,184630,99450,Electric,Automatic,2.2,113
Volkswagen,Silverado,2002,Black,9996,9186,Hybrid,Automatic,4.4,164
Volkswagen,E-Class,2007,Silver,53559,90657,Diesel,Manual,3.4,120
Toyota,3 Series,2017,Red,38037,53941,Diesel,Automatic,1.8,86
Volkswagen,Silverado,2007,Red,115445,33321,Gasoline,Automatic,3.4,101
Ford,Altima,2020,Red,297,14046,Hybrid,Manual,5.8,164
Mercedes-Benz,Golf,2012,Black,21320,46237,Hybrid,Automatic,5.2,108
Ford,3 Series,2009,Red,26506,38350,Hybrid,Automatic,5.4,148
Ford,Camry,2014,Black,195415,71515,Electric,Automatic,3.6,88
Mercedes-Benz,Civic,2019,Gray,17682,82480,Electric,Automatic,4.4,175
Volkswagen,Altima,2010,Silver,158102,63108,Diesel,Automatic,1.2,189
Honda,Civic,2003,Green,186249,19606,Gasoline,Automatic,5.6,117
Volkswagen,E-Class,2008,Blue,171637,57581,Gasoline,Automatic,3.1,167
Honda,E-Class,2008,Red,104209,64828,Electric,Manual,4.1,104
BMW,E-Class,2015,Silver,22854,14659,Gasoline,Automatic,5.8,109
Hyundai,Sonata,2000,Purple,6726,87378,Electric,Automatic,4.6,180
Toyota,Civic,2002,Red,133323,56765,Diesel,Automatic,5.9,144
BMW,Mustang,2000,Black,55174,64148,Gasoline,Manual,1.6,111
Honda,Silverado,2012,Red,5107,20576,Electric,Manual,3.7,157
Audi,E-Class,2005,Orange,37741,50941,Hybrid,Automatic,3.6,165
Audi,Camry,2018,Orange,132031,46623,Gasoline,Manual,2.8,123
Audi,Silverado,2001,Silver,75311,96140,Gasoline,Manual,3.5,110
Toyota,Sonata,2011,Orange,166930,52646,Gasoline,Automatic,2.0,150
Toyota,Golf,2009,Black,38934,47659,Hybrid,Manual,1.8,87
BMW,Mustang,2015,Purple,172721,84186,Electric,Manual,1.9,109
Volkswagen,Silverado,2014,Orange,97980,43274,Electric,Automatic,1.7,96
Toyota,Golf,2005,Orange,172930,62520,Electric,Manual,4.8,90
Nissan,Sonata,2006,Red,198994,8422,Electric,Automatic,4.6,96
Chevrolet,Silverado,2017,Black,144734,23616,Gasoline,Manual,3.6,179
Chevrolet,Silverado,2022,Red,112533,46837,Electric,Manual,1.9,173
Ford,A4,2013,Black,124943,33280,Gasoline,Automatic,3.2,157
Audi,E-Class,2006,Silver,72988,89759,Hybrid,Automatic,2.8,167
Toyota,Golf,2000,Black,175990,6893,Gasoline,Automatic,4.5,141
Nissan,Sonata,2001,Purple,48562,35089,Diesel,Automatic,4.7,101
Honda,Civic,2000,Black,141658,54259,Diesel,Automatic,5.3,133
Hyundai,Silverado,2010,Gray,185559,99670,Gasoline,Automatic,4.3,146
Audi,Camry,2016,Green,78134,91878,Gasoline,Manual,2.1,94
Audi,Camry,2012,Green,17726,48828,Diesel,Manual,3.1,140
Volkswagen,Civic,2022,Orange,2758,87322,Gasoline,Automatic,4.4,113
Audi,Golf,2012,Blue,80853,38763,Electric,Manual,5.7,195
Hyundai,3 Series,2019,Green,147709,42107,Gasoline,Automatic,5.3,182
Chevrolet,E-Class,2007,Blue,71668,67188,Electric,Manual,2.0,115
Ford,A4,2006,Orange,46389,17935,Hybrid,Manual,5.9,119
Honda,E-Class,2017,Purple,47734,54047,Diesel,Automatic,1.0,108
Audi,Sonata,2017,Purple,99148,99853,Electric,Manual,5.9,200
Ford,3 Series,2006,Blue,36615,47356,Electric,Manual,3.1,184
Honda,3 Series,2008,Black,126023,85457,Gasoline,Automatic,2.4,165
Mercedes-Benz,E-Class,2022,Green,170013,96699,Diesel,Automatic,5.7,168
Chevrolet,E-Class,2020,Green,31296,19490,Electric,Manual,5.2,141
Audi,Civic,2008,Orange,113647,66559,Diesel,Automatic,3.5,109
Toyota,Silverado,2021,White,184135,34303,Hybrid,Manual,3.5,84
Mercedes-Benz,Sonata,2010,Gray,187966,66526,Gasoline,Automatic,2.4,164
Audi,3 Series,2019,Yellow,104532,16640,Electric,Manual,2.4,169
Nissan,Civic,2018,Orange,71771,37517,Electric,Automatic,5.0,121
Volkswagen,3 Series,2008,Green,182894,89415,Diesel,Manual,2.2,104
Mercedes-Benz,A4,2009,Blue,60363,26867,Diesel,Manual,5.6,180
Toyota,E-Class,2007,Yellow,60297,24909,Diesel,Manual,5.9,191
BMW,Golf,2016,Orange,190517,56199,Electric,Manual,5.0,85
Audi,Silverado,2001,Black,86679,80153,Hybrid,Manual,1.1,174
Volkswagen,E-Class,2000,Black,142034,79272,Hybrid,Automatic,2.5,95
Ford,Civic,2019,White,153460,22439,Gasoline,Automatic,5.5,120
Ford,E-Class,2003,Yellow,65875,12681,Gasoline,Automatic,1.2,146
Chevrolet,Camry,2019,Silver,32420,27272,Diesel,Automatic,4.5,116
Chevrolet,Altima,2022,Yellow,148982,23501,Diesel,Automatic,2.3,197
Volkswagen,Mustang,2015,Gray,86884,10976,Hybrid,Manual,3.5,197
Chevrolet,Silverado,2013,Green,148961,83097,Diesel,Manual,2.8,113
Chevrolet,Golf,2012,Orange,22427,78846,Hybrid,Automatic,1.3,193
Volkswagen,Altima,2000,Gray,12310,12854,Diesel,Automatic,1.6,92
Chevrolet,Golf,2000,Purple,171833,57238,Diesel,Manual,3.9,122
Hyundai,Sonata,2017,Orange,77643,80346,Electric,Manual,4.0,196
Audi,Silverado,2003,Silver,158739,15075,Hybrid,Automatic,3.4,157
Toyota,Camry,2008,Green,95216,68133,Gasoline,Automatic,5.8,175
Chevrolet,E-Class,2012,Green,165985,52981,Hybrid,Manual,4.4,193
Chevrolet,Golf,2020,Orange,46460,18571,Diesel,Manual,2.7,190
Nissan,Civic,2012,Orange,83320,47500,Gasoline,Manual,4.8,113
Nissan,A4,2004,Purple,85197,83974,Hybrid,Automatic,4.8,196
Mercedes-Benz,3 Series,2001,Green,23726,24329,Diesel,Automatic,3.0,153
BMW,Altima,2012,Gray,59412,99588,Gasoline,Automatic,1.6,92
Honda,A4,2015,White,94937,29269,Hybrid,Manual,5.1,162
Toyota,E-Class,2021,Blue,84286,77378,Electric,Automatic,1.6,169
Chevrolet,Civic,2018,Green,32825,66094,Electric,Automatic,1.7,95
Chevrolet,Sonata,2015,Green,14993,11066,Diesel,Manual,5.0,131
BMW,E-Class,2013,Blue,48991,50036,Electric,Manual,1.1,125
Volkswagen,Civic,2013,Orange,62520,74625,Diesel,Manual,3.9,152
Honda,Sonata,2005,Gray,23430,73401,Hybrid,Automatic,2.2,143
Mercedes-Benz,Silverado,2000,Purple,41342,57458,Diesel,Automatic,4.3,112
Ford,Sonata,2013,Purple,73795,76349,Gasoline,Automatic,2.3,167
Audi,Sonata,2008,White,153390,99644,Diesel,Automatic,1.1,103
Ford,A4,2006,Red,15473,51061,Gasoline,Automatic,1.5,191
Hyundai,E-Class,2010,Blue,134604,50920,Gasoline,Automatic,4.4,175
Ford,Camry,2022,White,193386,41009,Electric,Automatic,2.0,171
Nissan,Mustang,2010,Blue,51278,56136,Hybrid,Manual,3.3,172
Honda,A4,2016,Yellow,199618,41093,Hybrid,Manual,4.2,100
Honda,Golf,2012,Gray,140975,5474,Electric,Manual,5.4,99
Hyundai,Civic,2011,Blue,151354,57946,Gasoline,Automatic,4.5,196
BMW,Mustang,2012,Purple,35133,92892,Diesel,Automatic,4.4,178
Honda,Silverado,2008,Purple,5115,16649,Gasoline,Manual,1.0,168
Nissan,Civic,2004,Green,179120,46893,Diesel,Automatic,3.5,143
Ford,Golf,2005,Black,92079,75611,Gasoline,Automatic,5.5,81
Volkswagen,Camry,2015,Gray,148037,58795,Hybrid,Automatic,3.0,175
Toyota,E-Class,2021,Silver,116507,69879,Diesel,Manual,3.7,124
BMW,Camry,2022,Silver,58151,84708,Diesel,Manual,4.5,164
Toyota,A4,2017,Red,92148,12094,Diesel,Manual,5.0,141
Hyundai,Civic,2013,Purple,129564,71846,Hybrid,Manual,3.3,184
Nissan,3 Series,2005,Red,33328,29928,Hybrid,Automatic,2.8,114
Nissan,Sonata,2015,Orange,197100,27448,Electric,Manual,1.6,81
Honda,Silverado,2008,Orange,193472,66024,Electric,Manual,2.0,143
Ford,A4,2016,Red,34229,36364,Electric,Manual,2.6,164
Audi,Sonata,2020,Yellow,166849,79680,Diesel,Manual,5.4,133
Toyota,Mustang,2009,Blue,25799,23389,Electric,Automatic,5.7,150
Mercedes-Benz,E-Class,2021,Gray,124889,23820,Electric,Manual,3.0,84
Mercedes-Benz,Golf,2017,Orange,88495,7378,Electric,Manual,5.1,188
Mercedes-Benz,Altima,2009,Orange,41018,43683,Hybrid,Automatic,3.6,135
Honda,Altima,2014,Red,90928,74517,Diesel,Automatic,5.0,124
Toyota,Mustang,2000,Purple,41127,24504,Gasoline,Automatic,4.8,196
Nissan,Altima,2007,White,47359,75002,Electric,Manual,2.6,133
Ford,Camry,2000,Black,55602,89702,Hybrid,Manual,5.3,97
Nissan,Altima,2007,Yellow,76968,37604,Hybrid,Automatic,6.0,114
Toyota,Sonata,2002,Orange,144578,36797,Electric,Manual,5.3,89
Honda,Altima,2013,Black,62057,10335,Hybrid,Automatic,3.5,90
Honda,Sonata,2011,White,194358,14947,Diesel,Manual,5.7,185
Volkswagen,Golf,2001,White,198125,97748,Diesel,Automatic,5.3,147
BMW,Golf,2014,Silver,126293,44633,Electric,Manual,3.8,161
Volkswagen,Sonata,2015,White,107701,73555,Hybrid,Automatic,2.1,100
Audi,A4,2002,Orange,175467,73858,Diesel,Automatic,4.4,152
Volkswagen,Golf,2019,Yellow,100127,85812,Gasoline,Automatic,5.3,111
Audi,Sonata,2021,Red,78401,8255,Gasoline,Automatic,4.0,131
Ford,Mustang,2013,Red,143597,73584,Hybrid,Manual,4.3,161
Mercedes-Benz,Golf,2020,Purple,101285,56612,Gasoline,Automatic,5.2,155
Nissan,E-Class,2019,Purple,42535,20177,Electric,Manual,2.1,93
Hyundai,Golf,2007,Yellow,136440,9348,Diesel,Manual,5.2,163
BMW,Altima,2013,Silver,143997,42110,Diesel,Automatic,2.5,102
BMW,Golf,2007,Yellow,27536,51766,Diesel,Manual,1.8,111
Nissan,Mustang,2012,Blue,177127,30133,Electric,Automatic,5.6,103
Toyota,Sonata,2022,Purple,125991,24174,Hybrid,Manual,5.6,129
Honda,Mustang,2016,Blue,183508,23227,Hybrid,Manual,3.1,124
Nissan,Silverado,2009,Red,91140,34226,Diesel,Manual,4.2,85
Ford,E-Class,2006,Blue,177926,52094,Gasoline,Automatic,3.0,155
Toyota,Camry,2003,Purple,131799,78791,Hybrid,Automatic,2.8,116
Chevrolet,Civic,2017,White,108418,84083,Gasoline,Manual,5.5,96
Ford,Mustang,2019,Green,170040,83704,Diesel,Automatic,5.6,101
Toyota,Sonata,2003,Green,169136,53896,Diesel,Automatic,1.7,178
Toyota,3 Series,2011,White,180515,94444,Gasoline,Manual,5.2,151
BMW,Sonata,2019,Purple,58926,50022,Diesel,Manual,4.8,92
Toyota,E-Class,2004,Green,98338,91016,Hybrid,Manual,2.9,90
BMW,Golf,2014,White,32072,32469,Hybrid,Manual,5.5,114
Chevrolet,Altima,2018,Gray,150847,63238,Diesel,Automatic,2.5,91
Volkswagen,3 Series,2020,Yellow,163852,42288,Gasoline,Manual,5.3,87
BMW,Silverado,2000,Blue,60991,74062,Electric,Automatic,2.5,91
Toyota,A4,2020,Black,118523,22124,Gasoline,Manual,2.6,111
Hyundai,Golf,2015,Orange,172134,32601,Diesel,Manual,3.8,100
Volkswagen,Camry,2018,Green,53637,54801,Hybrid,Manual,2.8,146
Toyota,Golf,2021,Gray,171243,93317,Diesel,Automatic,2.0,138
Ford,Golf,2000,Red,166863,53956,Electric,Manual,2.9,157
Mercedes-Benz,Altima,2005,Green,62590,37302,Electric,Manual,2.6,110
Ford,Civic,2015,Gray,31661,6018,Gasoline,Manual,5.4,132
Honda,3 Series,2011,Black,62307,62955,Diesel,Manual,4.0,130
Volkswagen,A4,2018,Yellow,97473,9013,Gasoline,Automatic,1.9,169
Nissan,Golf,2022,Orange,144313,94239,Gasoline,Automatic,4.8,187
Nissan,Golf,2022,Black,70089,26733,Gasoline,Manual,1.8,188
Hyundai,Golf,2002,Gray,52030,39649,Diesel,Automatic,4.8,140
Audi,Sonata,2009,Orange,145071,82146,Hybrid,Automatic,1.0,150
Volkswagen,Civic,2015,Blue,122616,82385,Hybrid,Automatic,2.2,186
BMW,Silverado,2018,Silver,166705,71078,Hybrid,Automatic,5.3,106
Chevrolet,Camry,2020,Green,134609,97263,Hybrid,Manual,5.7,145
Honda,3 Series,2022,Purple,68070,31461,Hybrid,Automatic,1.0,88
Nissan,A4,2015,Black,12232,23803,Gasoline,Manual,3.1,113
Chevrolet,Civic,2016,White,92685,74964,Hybrid,Manual,4.2,128
Toyota,E-Class,2006,White,47423,76881,Electric,Manual,5.4,107
Volkswagen,Silverado,2019,Purple,19123,14945,Diesel,Manual,4.8,140
Nissan,Golf,2005,Silver,75650,52401,Diesel,Manual,3.0,111
Honda,Altima,2010,Yellow,143473,76440,Gasoline,Manual,6.0,191
Mercedes-Benz,E-Class,2011,Black,43491,24665,Gasoline,Automatic,5.8,160
Hyundai,Camry,2002,Green,32284,22167,Diesel,Automatic,1.3,106
Audi,E-Class,2010,Blue,153275,32744,Hybrid,Manual,4.9,82
Volkswagen,Silverado,2004,Black,160022,57785,Diesel,Automatic,5.1,121
Honda,Camry,2009,Silver,53956,42935,Gasoline,Automatic,5.2,127
Ford,E-Class,2007,Purple,108926,84095,Diesel,Manual,2.3,118
Ford,Mustang,2014,Purple,197707,70895,Diesel,Manual,2.6,152
Audi,Mustang,2018,Silver,2344,39874,Diesel,Manual,5.7,195
Audi,Golf,2011,Blue,194618,32535,Gasoline,Manual,1.6,117
Nissan,Civic,2007,Red,13784,54795,Gasoline,Automatic,4.4,172
